j;c;l;m;sp;lp;lb;nlt;fi;p;f;n;uma
B;390;"Colegiul Tehnic ""Iuliu Maniu""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;5.47
B;391;"Colegiul Tehnic ""Iuliu Maniu""";URBAN;Turism Si alimentatie;Limba româna;-;48;THN;SRV;Zi;Liceal;6.02
B;392;"Liceul cu Program Sportiv ""Mircea Eliade""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;8.17
B;393;"Liceul cu Program Sportiv ""Mircea Eliade""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;8.29
B;394;"Colegiul Tehnic ""Gheorghe Asachi""";URBAN;Stiinte Sociale;Limba româna;-;26;TER;UMA;Zi;Liceal;-
B;395;"Colegiul Tehnic ""Gheorghe Asachi""";URBAN;Industrie textila Si pielarie;Limba româna;-;24;THN;TEH;Zi;Liceal;6.27
B;396;"Colegiul Tehnic ""Gheorghe Asachi""";URBAN;Productie media;Limba româna;-;48;THN;TEH;Zi;Liceal;6.53
B;397;"Colegiul Tehnic ""Carol I""";URBAN;Stiinte ale Naturii;Limba româna;-;26;TER;REA;Zi;Liceal;7.50
B;398;"Colegiul Tehnic ""Carol I""";URBAN;Protectia mediului;Limba româna;-;24;THN;RES;Zi;Liceal;-
B;399;"Colegiul Tehnic ""Carol I""";URBAN;Mecanica;Limba româna;-;24;THN;TEH;Zi;Liceal;5.16
B;400;"Colegiul Economic ""Costin C. Kiritescu""";URBAN;Economic;Limba româna;-;120;THN;SRV;Zi;Liceal;8.34
B;401;"Colegiul Economic ""Costin C. Kiritescu""";URBAN;Turism Si alimentatie;Limba româna;-;48;THN;SRV;Zi;Liceal;8.23
B;900;"Colegiul National ""Aurel Vlaicu""";URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
B;901;"Liceul de Arte Plastice ""Nicolae Tonitza""";URBAN;Arte plastice Si Decorative;Limba româna;-;144;VOC;ART;Zi;Liceal;-
B;902;"Liceul ""Dimitrie Paciurea""";URBAN;Arte plastice Si Decorative;Limba româna;-;48;VOC;ART;Zi;Liceal;-
B;903;"Colegiul National de Muzica ""George Enescu""";URBAN;Muzica;Limba româna;-;48;VOC;ART;Zi;Liceal;-
B;904;"Liceul Greco-Catolic ""Timotei Cipariu""";URBAN;Ghid turism religios catolic;Limba româna;-;24;VOC;TEO;Zi;Liceal;-
B;905;"Colegiul Tehnic ""Media""";URBAN;Sportiv;Limba româna;-;48;VOC;SPO;Zi;Liceal;-
B;906;"Colegiul Tehnic ""Dinicu Golescu""";URBAN;Sportiv;Limba româna;-;48;VOC;SPO;Zi;Liceal;-
B;907;"Colegiul Tehnic Feroviar ""Mihai I""";URBAN;Sportiv;Limba româna;-;72;VOC;SPO;Zi;Liceal;-
B;908;"Colegiul Tehnic Mecanic ""Grivita""";URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
B;909;"Colegiul Tehnic de Arhitectura Si Lucrari Publice ""Ioan N. Socolescu""";URBAN;Arhitectura, Arte  ambientale Si Design;Limba româna;-;72;VOC;ART;Zi;Liceal;-
B;910;Colegiul National ”Emil Racovita”;URBAN;Sportiv;Limba româna;-;48;VOC;SPO;Zi;Liceal;-
B;911;Colegiul Tehnic ”Edmond Nicolau”;URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
B;912;Liceul Teoretic ”Traian”;URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
B;913;Liceul Teoretic Waldorf;URBAN;Waldorf Filologie;Limba româna;-;26;VOC;WAL;Zi;Liceal;-
B;914;Liceul Tehnologic ”Sfântul Pantelimon”;URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
B;915;"Liceul Teologic Baptist ""Logos""";URBAN;Teologie baptista;Limba româna;-;24;VOC;TEO;Zi;Liceal;-
B;916;"Colegiul Tehnic ""Anghel Saligny""";URBAN;Sportiv;Limba româna;-;48;VOC;SPO;Zi;Liceal;-
B;917;"Liceul Tehnologic ""Elie Radu""";URBAN;Sportiv;Limba româna;-;48;VOC;SPO;Zi;Liceal;-
B;918;"Liceul Teoretic ""Benjamin Franklin""";URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
B;919;"Liceul de Coregrafie ""Floria Capsali""";URBAN;Coregrafie;Limba româna;-;24;VOC;ART;Zi;Liceal;-
B;920;"Colegiul National de Arte ""Dinu Lipatti""";URBAN;Muzica;Limba româna;-;48;VOC;ART;Zi;Liceal;-
B;921;"Colegiul National de Arte ""Dinu Lipatti""";URBAN;Arta actorului;Limba româna;-;24;VOC;ART;Zi;Liceal;-
B;922;Seminarul Teologic Ortodox;URBAN;Teologie ortodoxa;Limba româna;-;48;VOC;TEO;Zi;Liceal;-
B;923;"Colegiul Romano-Catolic ""Sfântul Iosif""";URBAN;Ghid turism religios catolic;Limba româna;-;24;VOC;TEO;Zi;Liceal;-
B;924;"Liceul Teologic Adventist ""Stefan Demetrescu""";URBAN;Teologie adventista;Limba româna;-;48;VOC;TEO;Zi;Liceal;-
B;925;"Liceul Teologic Penticostal ""Emanuel""";URBAN;Teologie penticostala;Limba româna;-;48;VOC;TEO;Zi;Liceal;-
B;926;"Liceul Tehnologic ""Dacia""";URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
B;927;"Colegiul National ""Elena Cuza""";URBAN;Educator - puericultor;Limba româna;-;24;VOC;PED;Zi;Liceal;-
B;928;"Colegiul National ""Elena Cuza""";URBAN;Învatatori - educatoare;Limba româna;-;24;VOC;PED;Zi;Liceal;-
B;929;"Liceul cu Program Sportiv ""Mircea Eliade""";URBAN;Sportiv;Limba româna;-;96;VOC;SPO;Zi;Liceal;-
B;930;"Colegiul Tehnic de PoSta Si Telecomunicatii ""Gheorghe Airinei""";URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
B;931;"Colegiul Tehnic ""Iuliu Maniu""";URBAN;Sportiv;Limba româna;-;24;VOC;SPO;Zi;Liceal;-
